,OpportunityID,AccountID,OpportunityName,Stage,Type,CloseDate,Amount
0,d4a9d21c-592a-47d8-ae3c-a42e51c226b3,a9e654e8-08ea-461c-b446-080e0357c6e1,incentivize cross-platform interfaces,Prospecting,New Business,2025-02-09,376134
1,079c5e1a-4b8c-493d-9751-c7ccf63dbde3,a9e654e8-08ea-461c-b446-080e0357c6e1,enhance end-to-end platforms,Lost,Upsell,2025-04-08,257964
2,fc7c87c4-b150-45a6-aeef-d1298906cf76,d250a8a3-04a8-4a69-a08b-66ebe9b1f099,maximize seamless infrastructures,Prospecting,Upsell,2025-04-12,204287
3,212b4f82-98f8-4dd8-b89e-45b0061dfcf4,148c9011-f9f2-47fa-9f80-52a1fca106dd,empower next-generation schemas,Closed,Existing Business,2025-04-15,391096
4,d17ca2df-e199-4eb1-8d43-d8cf4607674f,148c9011-f9f2-47fa-9f80-52a1fca106dd,aggregate rich e-tailers,Prospecting,Upsell,2025-03-14,346252
5,b5d35301-2bb2-405f-a1e7-d6d596e9b4a9,41553d2e-1615-4ed1-981d-b8bce254d6a2,visualize customized paradigms,Won,Upsell,2025-03-04,493780
6,9bd5e3d4-a124-4fc5-b30c-1541d7b9766a,996063e1-e6dc-4c3a-bb97-0d52e772f148,productize end-to-end communities,Lost,New Business,2025-02-14,101419
7,89f95d26-480f-4b15-b555-c72a4f13c9fa,996063e1-e6dc-4c3a-bb97-0d52e772f148,generate B2B systems,Won,Existing Business,2025-03-07,178237
8,176766b7-ecba-4f04-b380-0f366cb0598e,23fbb927-21e5-40f4-86b4-82e34c131a14,re-contextualize virtual infrastructures,Prospecting,Upsell,2025-03-11,395323
9,2f321830-cc0b-418d-a7ef-2d6c3c51ab1c,23fbb927-21e5-40f4-86b4-82e34c131a14,facilitate sticky e-business,Qualification,New Business,2025-04-01,254642
10,ceaf4b57-a786-4b52-8b9d-ef4b8ca6eb10,392f5a5a-26bd-4745-9b1a-fe3f8a025d00,reinvent granular e-services,Prospecting,Renewal,2025-01-14,131426
11,6bed1e56-b644-4859-8234-e68a26d865ef,a331fa92-4b77-4dc3-8265-76e00c68939b,enhance 24/365 content,Negotiation,Existing Business,2025-03-27,78449
12,23530f34-18c5-436b-880c-e6e15f4a334d,a331fa92-4b77-4dc3-8265-76e00c68939b,utilize frictionless interfaces,Qualification,Upsell,2025-03-11,176182
13,643a75cf-3c43-4e1b-a3a0-e24e9ed1aaa9,de201e35-6ae2-4a17-95fa-9d1797607850,scale granular channels,Closed,New Business,2025-03-31,253923
14,bc1c64a0-312f-429c-92d7-0ac4a1f88e17,de201e35-6ae2-4a17-95fa-9d1797607850,grow cross-platform web-readiness,Prospecting,New Business,2025-04-05,336750
15,91e5f919-e75a-40a7-9b00-544c9df439bd,860992a3-fc92-4486-aa27-ef0a0d3521c3,reinvent plug-and-play mindshare,Proposal,Upsell,2025-03-27,490599
16,e02452d3-935f-4ee8-8183-dfb063504eef,860992a3-fc92-4486-aa27-ef0a0d3521c3,enhance turn-key experiences,Lost,Existing Business,2025-02-19,438103
17,522593eb-345d-4611-8ddf-390dce1dd204,4a4699e7-21b6-4f90-b8e0-e71176d73f73,syndicate leading-edge action-items,Lost,Renewal,2025-04-12,129939
18,3d9c1b3f-d0ff-46f2-a2aa-d751ac9f2857,9205a7a8-9138-4a90-85d2-435a0879ac79,unleash next-generation e-markets,Negotiation,Renewal,2025-04-14,351223
19,ef4d7364-0a20-4918-b6b1-1725f24f15e1,46824630-3383-4541-b6a4-b5b5c7c97e43,synergize global ROI,Negotiation,Upsell,2025-04-02,371555
20,86a3a37f-65c8-4f3b-b5e8-342f30fc4b13,46824630-3383-4541-b6a4-b5b5c7c97e43,unleash plug-and-play vortals,Lost,Existing Business,2025-03-05,493431
21,7e267c16-bb0b-4d2b-bfd3-0b29615be912,46824630-3383-4541-b6a4-b5b5c7c97e43,streamline cross-media markets,Qualification,Upsell,2025-02-09,64369
22,7e7470ce-0d7f-45dd-ae24-8d31e542845f,faad09d6-04c9-44a9-95f8-5fc9c22935d2,enhance synergistic bandwidth,Proposal,Existing Business,2025-01-27,390804
23,a45990b3-004d-4e4f-b658-6f7c531269aa,faad09d6-04c9-44a9-95f8-5fc9c22935d2,embrace customized e-services,Negotiation,Upsell,2025-04-12,392399
24,072642a7-41ec-4592-b249-810ca0f2b511,faad09d6-04c9-44a9-95f8-5fc9c22935d2,generate ubiquitous experiences,Lost,New Business,2025-02-17,263104
25,5e621030-2997-4f63-b47b-ce896119a1b7,bc86d81c-e4f2-4bfc-9ea4-90d697d8eeda,seize dynamic bandwidth,Prospecting,Upsell,2025-03-15,447170
26,0808a836-d26e-4b9a-8bef-f7c87fa11480,741865dd-ee13-40a2-a29e-8b921e0d6b01,expedite integrated eyeballs,Qualification,Renewal,2025-02-10,122665
27,8897b797-782f-42d2-aaeb-f57d9fe0bf51,741865dd-ee13-40a2-a29e-8b921e0d6b01,exploit rich channels,Negotiation,New Business,2025-01-27,57212
28,c568b30e-0faf-4fcc-adbd-ed9205d74a99,629dd1fa-732d-4425-95ed-a436446c832d,expedite rich interfaces,Lost,Renewal,2025-03-01,430291
29,282f2f71-cf8b-4e7b-99aa-6c6cca7f237c,629dd1fa-732d-4425-95ed-a436446c832d,deploy front-end convergence,Qualification,Renewal,2025-04-08,125063
30,8526cd33-cf8d-40f6-bba1-6e6f9204c74f,6e79b897-8bde-4d9e-920d-d94dc967c487,leverage holistic functionalities,Qualification,Renewal,2025-02-14,499002
31,21f2196c-677e-4c77-bf83-152da156c76f,6e79b897-8bde-4d9e-920d-d94dc967c487,monetize intuitive platforms,Negotiation,Renewal,2025-02-20,277753
32,38e931dc-83a9-467d-9d42-8e0f7f4a6572,fc68af5a-f40b-4ad3-9d8a-226c2f6c878f,facilitate scalable markets,Prospecting,Upsell,2025-03-01,246713
33,eaa33ed7-63e5-4682-890c-426619a68431,fc68af5a-f40b-4ad3-9d8a-226c2f6c878f,extend user-centric solutions,Closed,Existing Business,2025-03-03,488430
34,441318cd-0304-45d6-b0da-413ab0037eae,86a4d184-67f0-4fd0-bd44-46ca7c2a187c,empower viral systems,Prospecting,Existing Business,2025-01-18,273608
35,0373943a-766c-4416-91a0-e751bb86431c,86a4d184-67f0-4fd0-bd44-46ca7c2a187c,seize next-generation communities,Won,Existing Business,2025-04-01,127732
36,04db2c38-c0ae-4bc6-8ea1-cc65fc578ee4,168b2c4f-2fc1-4e7f-aa2e-0c90416f4585,iterate turn-key web services,Lost,Existing Business,2025-02-20,76133
37,d2211388-6ca8-4a54-8ba8-fb3b5d1efcee,168b2c4f-2fc1-4e7f-aa2e-0c90416f4585,architect customized functionalities,Negotiation,Upsell,2025-01-08,467593
38,1829534e-8a34-4804-8dd5-16b18deab11f,168b2c4f-2fc1-4e7f-aa2e-0c90416f4585,empower extensible niches,Proposal,Renewal,2025-03-16,63294
39,1df89662-40c7-45bb-b503-de88d3212726,cb074b02-339f-4977-b86a-40f75120b03d,productize innovative initiatives,Qualification,Renewal,2025-03-19,179394
40,e325368c-0fcc-4ff5-9e35-9b128596457a,c1768be7-6109-4d6f-ba47-8cff23266021,innovate transparent applications,Won,Renewal,2025-03-26,279214
41,df5f10cf-2ab0-450c-b8c8-aa771e6e4d87,c1768be7-6109-4d6f-ba47-8cff23266021,embrace magnetic communities,Qualification,New Business,2025-01-27,252103
42,92f4fb3b-b637-4a25-b077-ff5792628ed5,b71c45d8-33b5-4a53-bedc-f3315429926a,orchestrate extensible technologies,Proposal,Renewal,2025-02-22,356114
43,e903432f-a5f0-461b-a96b-ed0d0662c401,b71c45d8-33b5-4a53-bedc-f3315429926a,e-enable back-end platforms,Prospecting,New Business,2025-04-03,283097
44,41940448-79de-410b-b73e-930c53caa2c4,b71c45d8-33b5-4a53-bedc-f3315429926a,morph plug-and-play solutions,Closed,New Business,2025-01-30,309993
45,42f284ea-75bd-4b38-a29b-8570ac05d307,1fb29073-689c-4c72-aba9-b30645390257,monetize cross-platform e-services,Qualification,Upsell,2025-02-23,110683
46,9061c347-6328-4ca1-aa6e-092088e81291,1fb29073-689c-4c72-aba9-b30645390257,productize back-end functionalities,Prospecting,New Business,2025-01-24,252622
47,563a4ff7-2071-4d2c-bef1-06abe5349b11,7808b05f-4146-4b9f-baef-d6caa8a1afdb,facilitate enterprise schemas,Proposal,Existing Business,2025-04-09,226759
48,ee95dd39-802d-4677-953a-8894006dd57e,961eb582-6e8c-4a5d-b62b-ddc3ce547914,orchestrate open-source schemas,Negotiation,Existing Business,2025-01-27,132848
49,86832ad2-4a97-4575-9695-f3d9672c694b,961eb582-6e8c-4a5d-b62b-ddc3ce547914,redefine web-enabled interfaces,Prospecting,Upsell,2025-03-17,52131
50,100fc476-7ea2-4093-8090-26b9928b9715,6c066e63-68da-4b10-aa94-aa57226d4e1a,morph leading-edge niches,Lost,Existing Business,2025-02-13,294603
51,4c4028f3-957b-4b17-9130-41a79cd0e0b5,6c066e63-68da-4b10-aa94-aa57226d4e1a,enable impactful synergies,Qualification,New Business,2025-03-31,195370
52,399f9946-ee13-4fa5-bbe3-ed107b081a0e,6c066e63-68da-4b10-aa94-aa57226d4e1a,re-intermediate out-of-the-box platforms,Qualification,Renewal,2025-03-01,86660
53,4f739f5e-3e86-40b7-b6bb-097bd87fd932,a1f96519-b8fd-48b2-a753-7561a9090608,expedite clicks-and-mortar infrastructures,Qualification,Renewal,2025-03-16,233527
54,4a5f9862-c368-42ab-8663-578e88060dfd,97f519b3-e882-476d-b379-2ae4265bd91b,exploit proactive solutions,Closed,Existing Business,2025-04-13,426691
55,086abde5-a47c-4203-8ba3-dfe11d7cba83,97f519b3-e882-476d-b379-2ae4265bd91b,iterate dynamic portals,Negotiation,Renewal,2025-03-31,253168
56,8f8069fd-b74b-44fc-b8da-8d73a508e90d,edcb5808-f88e-4819-804a-3019dddc3d60,reinvent killer networks,Proposal,Existing Business,2025-04-03,468937
57,3f727745-73bc-48a1-871b-900f7f0bf530,edcb5808-f88e-4819-804a-3019dddc3d60,mesh visionary web services,Closed,New Business,2025-03-09,96188
58,02af328e-d101-4d6e-8e7d-1f5a79f46fa9,5f53ed1c-4a81-4efe-8e03-b4c511bc343b,scale proactive initiatives,Qualification,Upsell,2025-04-04,306480
59,67d383f9-e0d6-4032-962e-2f6cffcf86f4,5f53ed1c-4a81-4efe-8e03-b4c511bc343b,re-intermediate vertical paradigms,Negotiation,Existing Business,2025-02-20,410695
60,8ed819ed-ee9c-4c5c-88e8-89e8ed6f7162,d25f2c9b-2250-4c0c-bd33-5f57006b5931,engage turn-key eyeballs,Lost,New Business,2025-03-28,108974
61,7d112cd2-0966-4fad-9cb1-d974d8a732d0,d25f2c9b-2250-4c0c-bd33-5f57006b5931,exploit real-time info-mediaries,Negotiation,New Business,2025-03-26,259745
62,38f3bb0c-9cdf-4e0d-9125-4bec817a9f12,d25f2c9b-2250-4c0c-bd33-5f57006b5931,drive collaborative portals,Prospecting,New Business,2025-02-14,499302
63,420eb2ab-959e-4647-80a4-9f3736dbd7bc,b2242521-730b-41e3-b666-17e00efc45e8,orchestrate revolutionary solutions,Qualification,Renewal,2025-03-17,185297
64,06029180-4fa2-420f-b008-b31532db6e72,b2242521-730b-41e3-b666-17e00efc45e8,re-contextualize cross-platform e-business,Closed,Existing Business,2025-01-18,243934
65,35a25533-fbbd-48b0-8e8e-b02eeb9da112,d3beac15-ba06-41cb-8f70-a95816ee6edc,aggregate plug-and-play infrastructures,Lost,Renewal,2025-04-13,212858
66,925c8385-8f69-4c2a-b2cd-bb19b8949641,fed2c78d-f7c8-4489-b520-80b6fdf1151b,repurpose killer info-mediaries,Proposal,Upsell,2025-01-19,225852
67,cc756eac-210d-4f56-86fe-7a6690498e04,fed2c78d-f7c8-4489-b520-80b6fdf1151b,expedite seamless e-markets,Negotiation,Existing Business,2025-04-09,282296
68,cdc35357-00ec-410d-8133-aeb408cee676,2e8803e7-7354-46fa-aee8-ac3321f64e5e,whiteboard out-of-the-box e-markets,Negotiation,Existing Business,2025-02-15,396961
69,ee3e2009-d5ad-4a4c-8b65-96c941cf7774,2e8803e7-7354-46fa-aee8-ac3321f64e5e,deploy interactive users,Closed,New Business,2025-02-13,340971
70,5ae2ebed-c11e-4b9c-b71f-6c7a07892d8f,9c17ff04-626c-432c-b2d2-e37d4fcd4a4d,evolve compelling models,Prospecting,New Business,2025-02-07,373967
71,d162b50b-4a60-4196-bff1-1a9507c4cd35,fedc2f29-ad55-4b29-87e2-d3031a078d16,aggregate dynamic niches,Prospecting,Existing Business,2025-03-04,75840
72,85b137e3-8501-4179-adcf-e01079ad3b31,8497b8d5-8bf3-4181-971a-08e00ddc7e75,reinvent wireless info-mediaries,Qualification,New Business,2025-03-02,72348
73,f2a758e1-03e2-4c9c-a978-b5657cc86d79,e4b5bf3a-d43e-4748-b72a-03e450cc4251,visualize back-end interfaces,Won,New Business,2025-02-12,148100
74,f63878e9-0619-4b35-bb42-5ab2a7ab0cd7,e4b5bf3a-d43e-4748-b72a-03e450cc4251,engineer innovative communities,Closed,Existing Business,2025-02-26,324171
75,7ec6c623-7d3e-4410-b000-7cdc2e5f60b8,e4b5bf3a-d43e-4748-b72a-03e450cc4251,incentivize magnetic web-readiness,Negotiation,New Business,2025-03-02,126630
76,c7ccd064-b6ad-48ea-bf16-aebd2e00b7b1,e66730a8-0bcc-4700-adf9-3e186d3632ad,expedite mission-critical e-business,Lost,Upsell,2025-02-17,141295
77,117883a7-a969-40ef-afd8-3b55844a941d,e66730a8-0bcc-4700-adf9-3e186d3632ad,enhance B2C portals,Closed,Existing Business,2025-04-09,390695
78,11a7fd1f-862b-4712-a807-b842bd3ee6e2,e66730a8-0bcc-4700-adf9-3e186d3632ad,re-contextualize synergistic relationships,Prospecting,New Business,2025-01-21,451318
79,d33ca89b-4043-44cf-816d-8d4346b6e32e,c4b74bb5-21e7-47f0-9c74-94d2c8c1e9e1,synergize 24/365 web services,Negotiation,New Business,2025-04-08,260632
80,f3c5c07c-22dc-4094-b2e2-badb3bb1bed7,c4b74bb5-21e7-47f0-9c74-94d2c8c1e9e1,optimize proactive e-services,Closed,Upsell,2025-03-17,391729
81,b13e588b-eaa9-4f8b-86d3-ee0bb8834784,b76331a3-d883-4a74-8970-7f8b40ed5e06,visualize magnetic systems,Qualification,Upsell,2025-02-22,464528
82,66f5a474-21f8-44d6-822c-85004f3ea576,b76331a3-d883-4a74-8970-7f8b40ed5e06,engineer open-source methodologies,Won,Upsell,2025-02-07,222046
83,b9eed952-0cb2-46db-964a-cefd35e81869,1b433d24-c7f2-415c-92aa-5b3cac5bff4b,empower cross-media niches,Won,New Business,2025-03-30,483436
84,0de009e5-aa15-4707-9c07-29177441f439,7de0cc16-9de9-4ae8-82a6-e0c70d884781,monetize back-end schemas,Won,New Business,2025-03-20,169437
85,364f0734-388f-40f2-9907-8d5619b572d6,7de0cc16-9de9-4ae8-82a6-e0c70d884781,evolve granular paradigms,Closed,Renewal,2025-03-19,426047
86,9d3f9b69-26d1-4772-9f94-02581e74c3cb,7de0cc16-9de9-4ae8-82a6-e0c70d884781,empower strategic systems,Qualification,Upsell,2025-02-23,452608
87,914dc63e-e302-461e-8e4c-8c957468ef1b,32891396-9533-42fa-8eea-a0abd7672821,synergize out-of-the-box e-business,Prospecting,Upsell,2025-03-24,213045
88,563daf14-35e8-4d03-9f44-132b81ab1a18,32891396-9533-42fa-8eea-a0abd7672821,benchmark turn-key eyeballs,Qualification,Upsell,2025-02-20,98012
